# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.6408196085316522,1.0266244266966507,3.1975464012459045,5.0051229299230195,-49.3090013153706,0.0,0.11823158830767413,8.457976538365529,-23.40985721818211,641.7413692534401
 0.6434350995298016,1.035021818267315,3.210636770153653,5.004937473312109,-49.36582666305931,0.0,0.10862761940915311,9.205761899590508,-21.72645508201522,643.6275779033427
 0.6460456255371868,1.0434373756893383,3.223701812667473,5.004754780017124,-49.41814775624756,0.0,0.09910258708761037,10.090553933934771,-20.042356613279953,645.1184412531934
 0.6486513832407838,1.0518715424504559,3.2367425219448647,5.004574776615059,-49.465985472481115,0.0,0.08966008007971586,11.153235632969658,-18.35846677821227,646.2188839519771
 0.6512525655780511,1.060324760429985,3.2497598720470937,5.004397391035746,-49.509361938736305,0.0,0.08030355145853209,12.452749372067181,-16.675673071327687,646.9341586612574
 0.6538493618718427,1.0687974700505405,3.262754818624743,5.004222552503347,-49.548300497815454,0.0,0.07103631890925874,14.077306022534648,-14.994845445612796,647.2697260595259
 0.6564419579608889,1.0772901104288142,3.2757282995818295,5.00405019196792,-49.58282567493042,0.0,0.06186156792337394,16.165125352766193,-13.316836070545794,647.2313146489228
 0.6590305363259882,1.0858031195252997,3.288681235717203,5.003880241762227,-49.61296314464955,0.0,0.052782352260381804,18.945726311454965,-11.642479179097021,646.824880414446
 0.6616152762120477,1.094336934292861,3.3016145313450203,5.0037126356780215,-49.63873969844461,0.0,0.04380159600477694,22.830218330193752,-9.972591027084459,646.0565571873884
 0.6641963537461046,1.1028919908240518,3.3145290748953227,5.003547309174993,-49.660183212406196,0.0,0.03492209670644523,28.635164961771608,-8.307969705924073,644.9327070558627
 0.6667739420514532,1.1114687244970871,3.327425739493885,5.003384199020971,-49.677322615647,0.0,0.02614652446271309,38.24600097141305,-6.649395175033457,643.4598292710315
 0.6693482113579938,1.1200675701203644,3.3403053835236745,5.003223243607549,-49.690187859018216,0.0,0.017477428010708368,57.21665678653077,-4.9976291674407065,641.6446031485583
 0.6719193291089238,1.1286889620754663,3.3531688511673514,5.003064382805545,-49.698809884285254,0.0,0.008917231009866982,112.14243512290896,-3.3534151689147804,639.4938535705722
 0.6744874600638748,1.1373333344585437,3.366016972932077,5.002907558104054,-49.70322059384027,0.0,0.00046827202870224863,2135.510854174575,-1.7174784434227526,637.0145269804732
 0.6770527663986032,1.1460011212200047,3.3788505661561716,5.002752712359233,-49.70345282078043,0.0,0.007867357123215138,127.10748785626905,-0.09052600736858221,634.2137054077879
 0.6796154078013321,1.154692756302428,3.3916704354998135,5.002599790197087,-49.699540299534846,0.0,0.01608748546820473,62.160118309129025,1.526753310633767,631.0985673922833
 0.682175541565844,1.163408673776632,3.404477373417883,5.0024487374826325,-49.6915176369175,0.0,0.02419018954130604,41.33907253155031,3.133688844132536,627.6763955750283
 0.6847333226814104,1.1721493079758116,3.4172721606180687,5.002299501829241,-49.67942028367139,0.0,0.03217361901767985,31.081365122477706,4.729628025044977,623.954556236158
 0.6872889039196568,1.1809150936277086,3.4300555665027366,5.002152032325788,-49.66328450635486,0.0,0.04003603633639949,24.97749756238561,6.313936366038611,619.9405118816591
 0.6898424359184373,1.1897064659847087,3.4428283495952443,5.00200627938388,-49.64314735985846,0.0,0.047775809777611956,20.931094724606975,7.8859973190164085,615.6417674533046
 0.6923940672628076,1.1985238609518338,3.455591257953071,5.001862195330691,-49.61904666022225,0.0,0.05539141278594392,18.05333985367781,9.445212251911519,611.0659113571492
 0.6949439445631739,1.2073677152125597,3.4683450295649654,5.001719733754419,-49.591020957960666,0.0,0.06288142308182731,15.902947977158602,10.991000334629094,606.2205748078688
 0.6974922125306937,1.2162384663524066,3.481090392734717,5.00157884971437,-49.559109511749604,0.0,0.07024451750901683,14.235986457898818,12.522798472452248,601.1134454254494
 0.7000390140500017,1.225136552980247,3.49382806645181,5.001439499908069,-49.5233522625873,0.0,0.07747947350840674,12.906644233862755,14.04006118702863,595.7522418113915
 0.7025899274997146,1.2340624148472825,3.499084560489538,2.0606320603781256,-49.48378980832715,0.0,0.08458516445772225,11.822404158117168,15.50913233242026,575.9000351646409
 0.7051544175471763,1.2430164929636476,3.491562825610333,-2.9330333672575493,-49.44046337862656,0.0,0.09156055945571107,10.921733177959796,16.894754473106033,540.3109838765914
 0.7077366312784408,1.2519992297125906,3.4786960661635145,-4.982840611151927,-49.39341481022946,0.0,0.0984047208737586,10.162114084779322,18.220245608434023,513.3158108794254
 0.7103368954598422,1.2610110689621998,3.4657398713818837,-4.98264556128592,-49.34268652263258,0.0,0.10511680117936623,9.513227084352085,19.50889758037301,495.5850183055004
 0.7129555436526855,1.2700524561746156,3.4526925904463437,-4.982448948735411,-49.28832149420506,0.0,0.11169604357389018,8.952868588747021,20.760722488840212,478.0424158878666
 0.7155929164615173,1.2791238385127324,3.4395525379420433,-4.9822506929237,-49.230363238417965,0.0,0.1181417783327446,8.464406191546521,21.975753899109524,460.697632962818
 0.7182493617918263,1.2882256649443131,3.4263179925943272,-4.9820507114207535,-49.168855780697754,0.0,0.12445342107692495,8.0351346820904,23.1540461301576,443.55975167425584
 0.7209252351177023,1.2973583863435225,3.4129871959538565,-4.981848920709447,-49.103843635349286,0.0,0.1306304719429294,7.655181713167858,24.29567375996103,426.63739675706574
 0.7236208997599991,1.3065224555898278,3.399558351033363,-4.981645235013993,-49.03537178292386,0.0,0.13667251335093575,7.316760155220731,25.400730992668386,409.93869020956106
 0.7263367271755973,1.3157183276642648,3.386029620888677,-4.981439566809247,-48.963485647755455,0.0,0.14257920787701697,7.013645361689479,26.469331134789073,393.4712993849525
 0.7290730972583909,1.3249464597430172,3.372399127142657,-4.981231826692303,-48.88823107603532,0.0,0.14835029750465795,6.740802120525587,27.501605938953382,377.242395191824
 0.7318303986526807,1.3342073112883308,3.3586649484499813,-4.981021922782171,-48.809654313734775,0.0,0.1539856009897532,6.494113693568946,28.497705206719957,361.25875460310965
 0.7346090290796834,1.3435013441366999,3.3448251188966602,-4.980809761106037,-48.727801985197225,0.0,0.15948501295364786,6.270181639516412,29.457796093395366,345.52665850962796
